fixture_id,season_id,competition_id,competition_name,competition_level,competition_group,fixture_phase,matchday,round_label,fixture_date,kickoff_time_local,home_team_id,home_team_name_source,away_team_id,away_team_name_source,home_score,away_score,result_status,venue_id,venue_name_source,attendance,referee,match_report_url,rfef_acta_url,laliga_match_url,source_system,source_url,source_retrieved_at,data_confidence,notes
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CD_LUGO_v_REAL_AVILES_INDUSTRIAL,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,2,Jornada 2,2025-09-06,14:15,CD_LUGO,CD Lugo,REAL_AVILES_INDUSTRIAL,Real Avilés Industrial,,,scheduled,,Estadio Anxo Carro - Hierba Natural,,"Holgueras Castellanos, Néstor",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_BARAKALDO_CF_v_ZAMORA_CF,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,2,Jornada 2,2025-09-06,16:30,BARAKALDO_CF,Barakaldo CF,ZAMORA_CF,Zamora CF,,,scheduled,,Nuevo Estadio Lasesarre,,"Ramo Andrés, Alfredo",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_ARENAS_CLUB_v_CP_CACERENO,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,2,Jornada 2,2025-09-06,18:00,ARENAS_CLUB,Arenas Club,CP_CACERENO,CP Cacereño,2,,scheduled,,Campo Municipal de Gobela - Hierba Artificial,,"Ruiz Álvarez, Jaime",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_SD_PONFERRADINA_v_PONTEVEDRA_CF,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,2,Jornada 2,2025-09-06,19:00,SD_PONFERRADINA,SD Ponferradina,PONTEVEDRA_CF,Pontevedra CF,0,1,played,,Estadio Municipal El Toralín - Hierba Natural,,"Pozueta Rodríguez, Manuel",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CD_TENERIFE_v_AD_MERIDA,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,2,Jornada 2,2025-09-06,20:33,CD_TENERIFE,CD Tenerife,AD_MERIDA,AD Mérida,,0,scheduled,,Estadio Heliodoro Rodríguez López - Hierba Natural,,"Aranda Delgado, José María",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CF_TALAVERA_DE_LA_REINA_v_ATHLETIC_CLUB_B,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,2,Jornada 2,2025-09-07,12:00,CF_TALAVERA_DE_LA_REINA,CF Talavera de La Reina,ATHLETIC_CLUB_B,"Athletic Club ""B""",,1,scheduled,,Estadio Municipal El Prado - Hierba Natural,,"Figueiredo Comesaña, Javier",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_RC_CELTA_FORTUNA_v_CD_GUADALAJARA,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,2,Jornada 2,2025-09-07,14:00,RC_CELTA_FORTUNA,RC Celta Fortuna,CD_GUADALAJARA,CD Guadalajara,,,scheduled,,Estadio Municipal de Barreiro - Hierba Natural,,"Alemán Pérez, Alexandre",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CLUB_ATLETICO_OSASUNA_B_v_OURENSE_CF,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,2,Jornada 2,2025-09-07,16:00,CLUB_ATLETICO_OSASUNA_B,"Club Atlético Osasuna ""B""",OURENSE_CF,Ourense CF,,,scheduled,,Instalaciones de Tajonar H1 - Hierba Natural,,"García Arriola, Ekaitz Ikiñi",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_CD_ARENTEIRO_v_UNIONISTAS_DE_SALAMANCA_CF,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,2,Jornada 2,2025-09-07,18:15,CD_ARENTEIRO,CD Arenteiro,UNIONISTAS_DE_SALAMANCA_CF,Unionistas de Salamanca CF,1,,scheduled,,Campo Municipal de Espiñedo - Hierba Natural,,"Rodríguez Recio, Álvaro",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J2_REAL_MADRID_CASTILLA_v_RACING_CLUB_FERROL,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,2,Jornada 2,2025-09-17,17:05,REAL_MADRID_CASTILLA,Real Madrid Castilla,RACING_CLUB_FERROL,Racing Club Ferrol,,,scheduled,,Ciudad Real Madrid - Hierba Natural,,"Camacho Garrote, Manuel",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=2&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J3_BARAKALDO_CF_v_ARENAS_CLUB,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,3,Jornada 3,2025-09-12,21:30,BARAKALDO_CF,Barakaldo CF,ARENAS_CLUB,Arenas Club,,,scheduled,,Nuevo Estadio Lasesarre,,"Gil Soriano, María Eugenia",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=3&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J3_AD_MERIDA_v_RC_CELTA_FORTUNA,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,3,Jornada 3,2025-09-13,18:30,AD_MERIDA,AD Mérida,RC_CELTA_FORTUNA,RC Celta Fortuna,,,scheduled,,Estadio Romano José Fouto - Hierba Natural,,"Palomares Gutiérrez, José Antonio",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=3&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J3_OURENSE_CF_v_CF_TALAVERA_DE_LA_REINA,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,3,Jornada 3,2025-09-14,12:00,OURENSE_CF,Ourense CF,CF_TALAVERA_DE_LA_REINA,CF Talavera de La Reina,,2,scheduled,,Estadio de O Couto - Hierba Natural,,"García Riesgo, Francisco",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=3&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J3_REAL_AVILES_INDUSTRIAL_v_CLUB_ATLETICO_OSASUNA_B,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,3,Jornada 3,2025-09-14,12:00,REAL_AVILES_INDUSTRIAL,Real Avilés Industrial,CLUB_ATLETICO_OSASUNA_B,"Club Atlético Osasuna ""B""",,,scheduled,,Estadio Municipal Román Suárez Puerta,,"Juncal Moreira, Álvaro",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=3&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J3_ATHLETIC_CLUB_B_v_REAL_MADRID_CASTILLA,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,3,Jornada 3,2025-09-14,16:00,ATHLETIC_CLUB_B,"Athletic Club ""B""",REAL_MADRID_CASTILLA,Real Madrid Castilla,,,scheduled,,Instalaciones Deportivas de Lezama - Hierba Natural,,"López Jiménez, David",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=3&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J3_CP_CACERENO_v_CD_ARENTEIRO,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,3,Jornada 3,2025-09-14,16:00,CP_CACERENO,CP Cacereño,CD_ARENTEIRO,CD Arenteiro,0,2,played,,Francisco de la Hera - Hierba Natural,,"González Páez, Gonzalo",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=3&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J3_PONTEVEDRA_CF_v_CD_TENERIFE,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,3,Jornada 3,2025-09-14,18:15,PONTEVEDRA_CF,Pontevedra CF,CD_TENERIFE,CD Tenerife,,,scheduled,,Estadio Municipal de Pasarón - Hierba Natural,,"Román Román, Fernando",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=3&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
2025-26_PRIMERA_FEDERACION_GRUPO_1_J3_CD_GUADALAJARA_v_UNIONISTAS_DE_SALAMANCA_CF,2025-26,PRIMERA_FEDERACION,Primera Federación,3,Grupo 1,regular_season,3,Jornada 3,2025-09-14,18:15,CD_GUADALAJARA,CD Guadalajara,UNIONISTAS_DE_SALAMANCA_CF,Unionistas de Salamanca CF,2,,scheduled,,Estadio Pedro Escartín - Hierba Natural,,"De Santisteban Adame, Ignacio",,,,RFEF,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=3&CodCompeticion=23289295&CodGrupo=23289296,2026-05-30T11:28:33.668274+00:00,high,Generated by clean Primera Federación RFEF extractor.
