team_fixture_id,fixture_id,team_id,season_id,competition_id,competition_name,competition_group,fixture_phase,matchday,fixture_date,opponent_team_id,home_or_away,team_score,opponent_score,result_for_team,venue_id,is_home_ground,team_autonomous_region_id,team_autonomous_region_name,team_autonomous_region_slug,opponent_autonomous_region_id,opponent_autonomous_region_name,opponent_autonomous_region_slug,source_url
2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_RACING_CLUB_FERROL_v_CF_TALAVERA_DE_LA_REINA__RACING_CLUB_FERROL,2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_RACING_CLUB_FERROL_v_CF_TALAVERA_DE_LA_REINA,RACING_CLUB_FERROL,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,1,2025-08-31,CF_TALAVERA_DE_LA_REINA,Home,,,,,true,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=1&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_RACING_CLUB_FERROL_v_CF_TALAVERA_DE_LA_REINA__CF_TALAVERA_DE_LA_REINA,2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_RACING_CLUB_FERROL_v_CF_TALAVERA_DE_LA_REINA,CF_TALAVERA_DE_LA_REINA,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,1,2025-08-31,RACING_CLUB_FERROL,Away,,,,,false,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=1&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_ARENAS_CLUB_v_CD_ARENTEIRO__ARENAS_CLUB,2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_ARENAS_CLUB_v_CD_ARENTEIRO,ARENAS_CLUB,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,1,2025-08-31,CD_ARENTEIRO,Home,,,,,true,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=1&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_ARENAS_CLUB_v_CD_ARENTEIRO__CD_ARENTEIRO,2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_ARENAS_CLUB_v_CD_ARENTEIRO,CD_ARENTEIRO,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,1,2025-08-31,ARENAS_CLUB,Away,,,,,false,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=1&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_CD_GUADALAJARA_v_CD_TENERIFE__CD_GUADALAJARA,2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_CD_GUADALAJARA_v_CD_TENERIFE,CD_GUADALAJARA,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,1,2025-08-31,CD_TENERIFE,Home,,,,,true,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=1&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_CD_GUADALAJARA_v_CD_TENERIFE__CD_TENERIFE,2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_CD_GUADALAJARA_v_CD_TENERIFE,CD_TENERIFE,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,1,2025-08-31,CD_GUADALAJARA,Away,,,,,false,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=1&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_OURENSE_CF_v_ATHLETIC_CLUB_B__OURENSE_CF,2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_OURENSE_CF_v_ATHLETIC_CLUB_B,OURENSE_CF,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,1,2025-08-31,ATHLETIC_CLUB_B,Home,,,,,true,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=1&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_OURENSE_CF_v_ATHLETIC_CLUB_B__ATHLETIC_CLUB_B,2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_OURENSE_CF_v_ATHLETIC_CLUB_B,ATHLETIC_CLUB_B,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,1,2025-08-31,OURENSE_CF,Away,,,,,false,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=1&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_REAL_AVILES_INDUSTRIAL_v_SD_PONFERRADINA__REAL_AVILES_INDUSTRIAL,2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_REAL_AVILES_INDUSTRIAL_v_SD_PONFERRADINA,REAL_AVILES_INDUSTRIAL,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,1,2025-08-31,SD_PONFERRADINA,Home,,,,,true,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=1&CodCompeticion=23289295&CodGrupo=23289296
2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_REAL_AVILES_INDUSTRIAL_v_SD_PONFERRADINA__SD_PONFERRADINA,2025-26_PRIMERA_FEDERACION_GRUPO_1_J1_REAL_AVILES_INDUSTRIAL_v_SD_PONFERRADINA,SD_PONFERRADINA,2025-26,PRIMERA_FEDERACION,Primera Federación,Grupo 1,regular_season,1,2025-08-31,REAL_AVILES_INDUSTRIAL,Away,,,,,false,,,,,,,https://resultados.rfef.es/pnfg/NPcd/NFG_CmpJornada?cod_primaria=1000120&CodTemporada=21&CodJornada=1&CodCompeticion=23289295&CodGrupo=23289296
